Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
11/19/2022,7:00 PM,8:00 PM,Tampa Bay Lightning,3,Nashville Predators,2,OT
11/19/2022,9:00 PM,10:00 PM,Los Angeles Kings,2,Seattle Kraken,3,OT
11/19/2022,9:00 PM,10:00 PM,Vegas Golden Knights,3,Edmonton Oilers,4,OT
11/19/2022,9:30 PM,10:30 PM,New York Rangers,2,San Jose Sharks,1,Regulation
11/20/2022,5:00 PM,6:00 PM,Florida Panthers,3,Columbus Blue Jackets,5,Regulation
11/20/2022,6:00 PM,7:00 PM,Pittsburgh Penguins,5,Chicago Blackhawks,3,Regulation
11/21/2022,6:00 PM,7:00 PM,Boston Bruins,5,Tampa Bay Lightning,3,Regulation
11/21/2022,6:00 PM,7:00 PM,Calgary Flames,5,Philadelphia Flyers,2,Regulation
11/21/2022,6:00 PM,7:00 PM,Edmonton Oilers,2,New Jersey Devils,5,Regulation
11/21/2022,6:30 PM,7:30 PM,Carolina Hurricanes,3,Winnipeg Jets,4,OT
11/21/2022,6:30 PM,7:30 PM,New York Islanders,3,Toronto Maple Leafs,2,OT
11/21/2022,7:00 PM,8:00 PM,Anaheim Ducks,1,St. Louis Blues,3,Regulation
11/21/2022,7:00 PM,8:00 PM,Arizona Coyotes,3,Nashville Predators,4,SO
11/21/2022,7:30 PM,8:30 PM,Colorado Avalanche,3,Dallas Stars,2,SO
11/21/2022,9:30 PM,10:30 PM,Ottawa Senators,1,San Jose Sharks,5,Regulation
11/21/2022,9:30 PM,10:30 PM,Vegas Golden Knights,5,Vancouver Canucks,4,Regulation
11/22/2022,6:00 PM,7:00 PM,Buffalo Sabres,7,Montreal Canadiens,2,Regulation
11/22/2022,9:30 PM,10:30 PM,New York Rangers,5,Los Angeles Kings,3,Regulation
11/23/2022,6:00 PM,7:00 PM,Arizona Coyotes,4,Carolina Hurricanes,0,Regulation
11/23/2022,6:00 PM,7:00 PM,Boston Bruins,2,Florida Panthers,5,Regulation
11/23/2022,6:00 PM,7:00 PM,Calgary Flames,1,Pittsburgh Penguins,2,SO
11/23/2022,6:00 PM,7:00 PM,Montreal Canadiens,3,Columbus Blue Jackets,1,Regulation
11/23/2022,6:00 PM,7:00 PM,St. Louis Blues,2,Buffalo Sabres,6,Regulation
11/23/2022,6:00 PM,7:00 PM,Toronto Maple Leafs,2,New Jersey Devils,1,Regulation
11/23/2022,6:00 PM,7:00 PM,Winnipeg Jets,1,Minnesota Wild,6,Regulation
11/23/2022,6:00 PM,7:00 PM,Nashville Predators,0,Detroit Red Wings,3,Regulation
11/23/2022,6:30 PM,7:30 PM,Edmonton Oilers,0,New York Islanders,3,Regulation
11/23/2022,6:30 PM,7:30 PM,Philadelphia Flyers,2,Washington Capitals,3,OT
11/23/2022,7:30 PM,8:30 PM,Chicago Blackhawks,4,Dallas Stars,6,Regulation
11/23/2022,9:00 PM,10:00 PM,New York Rangers,2,Anaheim Ducks,3,Regulation
11/23/2022,9:00 PM,10:00 PM,Ottawa Senators,1,Vegas Golden Knights,4,Regulation
11/23/2022,9:00 PM,10:00 PM,San Jose Sharks,5,Seattle Kraken,8,Regulation
11/23/2022,9:00 PM,10:00 PM,Vancouver Canucks,4,Colorado Avalanche,3,Regulation
11/25/2022,12:00 PM,1:00 PM,Carolina Hurricanes,2,Boston Bruins,3,OT
11/25/2022,1:00 PM,2:00 PM,Calgary Flames,0,Washington Capitals,3,Regulation
11/25/2022,1:00 PM,2:00 PM,Montreal Canadiens,3,Chicago Blackhawks,2,SO
11/25/2022,1:00 PM,2:00 PM,Toronto Maple Leafs,4,Minnesota Wild,3,Regulation
11/25/2022,2:00 PM,3:00 PM,Ottawa Senators,5,Anaheim Ducks,1,Regulation
11/25/2022,4:30 PM,5:30 PM,Pittsburgh Penguins,4,Philadelphia Flyers,1,Regulation
11/25/2022,7:00 PM,8:00 PM,Arizona Coyotes,3,Detroit Red Wings,4,SO
11/25/2022,7:00 PM,8:00 PM,New York Islanders,3,Columbus Blue Jackets,2,Regulation
11/25/2022,7:00 PM,8:00 PM,New Jersey Devils,3,Buffalo Sabres,1,Regulation
11/25/2022,7:00 PM,8:00 PM,St. Louis Blues,2,Tampa Bay Lightning,5,Regulation
11/25/2022,7:00 PM,8:00 PM,Seattle Kraken,4,Vegas Golden Knights,2,Regulation
11/25/2022,7:30 PM,8:30 PM,Winnipeg Jets,5,Dallas Stars,4,OT
11/25/2022,9:30 PM,10:30 PM,Los Angeles Kings,5,San Jose Sharks,2,Regulation
11/26/2022,12:00 PM,1:00 PM,Edmonton Oilers,4,New York Rangers,3,Regulation
11/26/2022,3:00 PM,4:00 PM,Calgary Flames,2,Carolina Hurricanes,3,Regulation
11/26/2022,5:30 PM,6:30 PM,St. Louis Blues,5,Florida Panthers,4,OT
11/26/2022,6:00 PM,7:00 PM,Toronto Maple Leafs,4,Pittsburgh Penguins,1,Regulation
11/26/2022,6:00 PM,7:00 PM,Washington Capitals,1,New Jersey Devils,5,Regulation
11/26/2022,6:30 PM,7:30 PM,Philadelphia Flyers,2,New York Islanders,5,Regulation
11/26/2022,8:00 PM,9:00 PM,Dallas Stars,1,Colorado Avalanche,4,Regulation
11/26/2022,9:00 PM,10:00 PM,Vancouver Canucks,5,Vegas Golden Knights,1,Regulation
11/27/2022,1:00 PM,2:00 PM,Arizona Coyotes,3,Minnesota Wild,4,Regulation
11/27/2022,6:00 PM,7:00 PM,Winnipeg Jets,7,Chicago Blackhawks,2,Regulation
11/27/2022,7:00 PM,8:00 PM,Seattle Kraken,5,Anaheim Ducks,4,Regulation
11/27/2022,7:00 PM,8:00 PM,Vancouver Canucks,4,San Jose Sharks,3,OT
11/27/2022,9:30 PM,10:30 PM,Ottawa Senators,3,Los Angeles Kings,2,OT
11/28/2022,6:00 PM,7:00 PM,New Jersey Devils,5,New York Rangers,3,Regulation
11/28/2022,6:00 PM,7:00 PM,Tampa Bay Lightning,6,Buffalo Sabres,5,OT
11/28/2022,6:00 PM,7:00 PM,Toronto Maple Leafs,4,Detroit Red Wings,2,Regulation
11/28/2022,6:00 PM,7:00 PM,Vegas Golden Knights,3,Columbus Blue Jackets,2,SO
11/28/2022,7:00 PM,8:00 PM,Dallas Stars,4,St. Louis Blues,1,Regulation
11/28/2022,8:30 PM,9:30 PM,Florida Panthers,3,Edmonton Oilers,4,OT
11/29/2022,6:00 PM,7:00 PM,Carolina Hurricanes,3,Pittsburgh Penguins,2,OT
11/29/2022,6:00 PM,7:00 PM,San Jose Sharks,4,Montreal Canadiens,0,Regulation
11/29/2022,6:00 PM,7:00 PM,Tampa Bay Lightning,1,Boston Bruins,3,Regulation
11/29/2022,6:30 PM,7:30 PM,New York Islanders,1,Philadelphia Flyers,3,Regulation
11/29/2022,7:00 PM,8:00 PM,Anaheim Ducks,1,Nashville Predators,2,OT
11/29/2022,7:00 PM,8:00 PM,Colorado Avalanche,0,Winnipeg Jets,5,Regulation
11/29/2022,8:00 PM,9:00 PM,Florida Panthers,2,Calgary Flames,6,Regulation
11/29/2022,9:00 PM,10:00 PM,Washington Capitals,5,Vancouver Canucks,1,Regulation
11/29/2022,9:30 PM,10:30 PM,Seattle Kraken,9,Los Angeles Kings,8,OT
11/30/2022,6:00 PM,7:00 PM,Buffalo Sabres,5,Detroit Red Wings,4,SO
11/30/2022,6:00 PM,7:00 PM,New York Rangers,3,Ottawa Senators,1,Regulation
11/30/2022,6:00 PM,7:00 PM,San Jose Sharks,1,Toronto Maple Leafs,3,Regulation
11/30/2022,8:30 PM,9:30 PM,Edmonton Oilers,5,Chicago Blackhawks,4,Regulation
12/1/2022,6:00 PM,7:00 PM,Colorado Avalanche,6,Buffalo Sabres,4,Regulation
12/1/2022,6:00 PM,7:00 PM,Nashville Predators,4,New Jersey Devils,3,OT
12/1/2022,6:00 PM,7:00 PM,Tampa Bay Lightning,4,Philadelphia Flyers,1,Regulation
12/1/2022,6:00 PM,7:00 PM,Vegas Golden Knights,3,Pittsburgh Penguins,4,Regulation
12/1/2022,7:00 PM,8:00 PM,Carolina Hurricanes,6,St. Louis Blues,4,Regulation
12/1/2022,7:00 PM,8:00 PM,Edmonton Oilers,3,Minnesota Wild,5,Regulation
12/1/2022,7:30 PM,8:30 PM,Anaheim Ducks,0,Dallas Stars,5,Regulation
12/1/2022,8:00 PM,9:00 PM,Montreal Canadiens,2,Calgary Flames,1,Regulation
12/1/2022,9:00 PM,10:00 PM,Florida Panthers,5,Vancouver Canucks,1,Regulation
12/1/2022,9:00 PM,10:00 PM,Washington Capitals,2,Seattle Kraken,3,OT
12/1/2022,9:30 PM,10:30 PM,Arizona Coyotes,3,Los Angeles Kings,5,Regulation
12/2/2022,6:00 PM,7:00 PM,Ottawa Senators,3,New York Rangers,2,OT
12/2/2022,6:30 PM,7:30 PM,Nashville Predators,4,New York Islanders,1,Regulation
12/2/2022,7:00 PM,8:00 PM,Columbus Blue Jackets,4,Winnipeg Jets,1,Regulation
12/3/2022,1:00 PM,2:00 PM,Anaheim Ducks,4,Minnesota Wild,5,SO
12/3/2022,6:00 PM,7:00 PM,Colorado Avalanche,1,Boston Bruins,5,Regulation
12/3/2022,6:00 PM,7:00 PM,Montreal Canadiens,3,Edmonton Oilers,5,Regulation
12/3/2022,6:00 PM,7:00 PM,New Jersey Devils,3,Philadelphia Flyers,2,Regulation
12/3/2022,6:00 PM,7:00 PM,San Jose Sharks,2,Ottawa Senators,5,Regulation
12/3/2022,6:00 PM,7:00 PM,St. Louis Blues,2,Pittsburgh Penguins,6,Regulation
12/3/2022,6:00 PM,7:00 PM,Toronto Maple Leafs,3,Tampa Bay Lightning,4,OT
12/3/2022,6:00 PM,7:00 PM,Vegas Golden Knights,4,Detroit Red Wings,1,Regulation
12/3/2022,6:30 PM,7:30 PM,Chicago Blackhawks,5,New York Rangers,2,Regulation
12/3/2022,9:00 PM,10:00 PM,Arizona Coyotes,2,Vancouver Canucks,3,OT
12/3/2022,9:00 PM,10:00 PM,Florida Panthers,5,Seattle Kraken,1,Regulation
12/3/2022,9:00 PM,10:00 PM,Washington Capitals,2,Calgary Flames,5,Regulation
12/3/2022,9:30 PM,10:30 PM,Carolina Hurricanes,4,Los Angeles Kings,2,Regulation
12/4/2022,2:00 PM,3:00 PM,Anaheim Ducks,2,Winnipeg Jets,5,Regulation
12/4/2022,2:00 PM,3:00 PM,Minnesota Wild,6,Dallas Stars,5,SO
12/4/2022,5:00 PM,6:00 PM,Detroit Red Wings,4,Columbus Blue Jackets,2,Regulation
12/4/2022,6:00 PM,7:00 PM,San Jose Sharks,3,Buffalo Sabres,6,Regulation
12/4/2022,6:30 PM,7:30 PM,Chicago Blackhawks,0,New York Islanders,3,Regulation
12/5/2022,6:00 PM,7:00 PM,Colorado Avalanche,3,Philadelphia Flyers,5,Regulation
12/5/2022,6:00 PM,7:00 PM,St. Louis Blues,4,New York Rangers,6,Regulation
12/5/2022,6:00 PM,7:00 PM,Vegas Golden Knights,4,Boston Bruins,3,SO
12/5/2022,7:30 PM,8:30 PM,Washington Capitals,3,Edmonton Oilers,2,Regulation
12/5/2022,8:00 PM,9:00 PM,Arizona Coyotes,2,Calgary Flames,3,Regulation
12/5/2022,9:30 PM,10:30 PM,Montreal Canadiens,6,Vancouver Canucks,7,OT
12/6/2022,6:00 PM,7:00 PM,Chicago Blackhawks,0,New Jersey Devils,3,Regulation
12/6/2022,6:00 PM,7:00 PM,Columbus Blue Jackets,1,Pittsburgh Penguins,4,Regulation
12/6/2022,6:00 PM,7:00 PM,Detroit Red Wings,4,Tampa Bay Lightning,2,Regulation
12/6/2022,6:00 PM,7:00 PM,Los Angeles Kings,5,Ottawa Senators,2,Regulation
12/6/2022,6:30 PM,7:30 PM,St. Louis Blues,7,New York Islanders,4,Regulation
12/6/2022,7:00 PM,8:00 PM,Florida Panthers,2,Winnipeg Jets,5,Regulation
12/6/2022,7:30 PM,8:30 PM,Toronto Maple Leafs,4,Dallas Stars,0,Regulation
12/6/2022,9:00 PM,10:00 PM,Carolina Hurricanes,3,Anaheim Ducks,4,OT
12/6/2022,9:00 PM,10:00 PM,Montreal Canadiens,4,Seattle Kraken,2,Regulation
12/7/2022,6:00 PM,7:00 PM,Washington Capitals,4,Philadelphia Flyers,1,Regulation
12/7/2022,6:30 PM,7:30 PM,Buffalo Sabres,9,Columbus Blue Jackets,4,Regulation
12/7/2022,7:00 PM,8:00 PM,Minnesota Wild,3,Calgary Flames,5,Regulation
12/7/2022,8:00 PM,9:00 PM,Boston Bruins,4,Colorado Avalanche,0,Regulation
12/7/2022,8:30 PM,9:30 PM,Arizona Coyotes,2,Edmonton Oilers,8,Regulation
12/7/2022,9:00 PM,10:00 PM,New York Rangers,5,Vegas Golden Knights,1,Regulation
12/7/2022,9:30 PM,10:30 PM,Vancouver Canucks,6,San Jose Sharks,5,OT
12/8/2022,6:00 PM,7:00 PM,Los Angeles Kings,0,Toronto Maple Leafs,5,Regulation
12/8/2022,6:00 PM,7:00 PM,Nashville Predators,2,Tampa Bay Lightning,5,Regulation
12/8/2022,6:30 PM,7:30 PM,Detroit Red Wings,1,Florida Panthers,5,Regulation
12/8/2022,7:00 PM,8:00 PM,Winnipeg Jets,5,St. Louis Blues,2,Regulation
12/8/2022,7:30 PM,8:30 PM,Ottawa Senators,3,Dallas Stars,4,OT
12/9/2022,6:00 PM,7:00 PM,Calgary Flames,1,Columbus Blue Jackets,3,Regulation
12/9/2022,6:00 PM,7:00 PM,New York Islanders,6,New Jersey Devils,4,Regulation
12/9/2022,6:00 PM,7:00 PM,Pittsburgh Penguins,4,Buffalo Sabres,3,OT
12/9/2022,6:00 PM,7:00 PM,Seattle Kraken,1,Washington Capitals,4,Regulation
12/9/2022,7:30 PM,8:30 PM,Winnipeg Jets,3,Chicago Blackhawks,1,Regulation
12/9/2022,8:00 PM,9:00 PM,Minnesota Wild,2,Edmonton Oilers,5,Regulation
12/9/2022,8:00 PM,9:00 PM,New York Rangers,2,Colorado Avalanche,1,SO
12/9/2022,8:30 PM,9:30 PM,Boston Bruins,3,Arizona Coyotes,4,Regulation
12/9/2022,9:00 PM,10:00 PM,Philadelphia Flyers,1,Vegas Golden Knights,2,OT
12/9/2022,9:00 PM,10:00 PM,San Jose Sharks,6,Anaheim Ducks,1,Regulation
12/10/2022,12:30 PM,1:30 PM,Ottawa Senators,3,Nashville Predators,2,Regulation
12/10/2022,1:00 PM,2:00 PM,Detroit Red Wings,2,Dallas Stars,3,OT
12/10/2022,3:30 PM,4:30 PM,Florida Panthers,1,Tampa Bay Lightning,4,Regulation
12/10/2022,6:00 PM,7:00 PM,Buffalo Sabres,1,Pittsburgh Penguins,3,Regulation
12/10/2022,6:00 PM,7:00 PM,Calgary Flames,4,Toronto Maple Leafs,5,OT
12/10/2022,6:00 PM,7:00 PM,Los Angeles Kings,4,Montreal Canadiens,2,Regulation
12/10/2022,6:30 PM,7:30 PM,Carolina Hurricanes,3,New York Islanders,0,Regulation
12/10/2022,9:00 PM,10:00 PM,Minnesota Wild,3,Vancouver Canucks,0,Regulation
12/11/2022,2:00 PM,3:00 PM,Colorado Avalanche,3,St. Louis Blues,2,OT
12/11/2022,5:00 PM,6:00 PM,Los Angeles Kings,5,Columbus Blue Jackets,6,OT
12/11/2022,5:00 PM,6:00 PM,Seattle Kraken,5,Florida Panthers,2,Regulation
12/11/2022,6:00 PM,7:00 PM,Philadelphia Flyers,4,Arizona Coyotes,5,OT
12/11/2022,6:00 PM,7:00 PM,Washington Capitals,5,Winnipeg Jets,2,Regulation
12/11/2022,7:00 PM,8:00 PM,Boston Bruins,3,Vegas Golden Knights,1,Regulation
12/12/2022,6:00 PM,7:00 PM,Calgary Flames,1,Montreal Canadiens,2,SO
12/12/2022,6:00 PM,7:00 PM,Dallas Stars,1,Pittsburgh Penguins,2,Regulation
12/12/2022,6:00 PM,7:00 PM,New Jersey Devils,3,New York Rangers,4,OT
12/12/2022,6:30 PM,7:30 PM,Anaheim Ducks,0,Ottawa Senators,3,Regulation
12/12/2022,7:00 PM,8:00 PM,Edmonton Oilers,1,Minnesota Wild,2,Regulation
12/12/2022,7:00 PM,8:00 PM,Nashville Predators,0,St. Louis Blues,1,OT
12/13/2022,6:00 PM,7:00 PM,Anaheim Ducks,0,Toronto Maple Leafs,7,Regulation
12/13/2022,6:00 PM,7:00 PM,Columbus Blue Jackets,0,Florida Panthers,4,Regulation
12/13/2022,6:00 PM,7:00 PM,Dallas Stars,4,New Jersey Devils,1,Regulation
12/13/2022,6:00 PM,7:00 PM,Los Angeles Kings,0,Buffalo Sabres,6,Regulation
12/13/2022,6:00 PM,7:00 PM,New York Islanders,3,Boston Bruins,4,SO
12/13/2022,6:00 PM,7:00 PM,Seattle Kraken,2,Tampa Bay Lightning,6,Regulation
12/13/2022,6:00 PM,7:00 PM,Carolina Hurricanes,1,Detroit Red Wings,0,Regulation
12/13/2022,7:00 PM,8:00 PM,Edmonton Oilers,6,Nashville Predators,3,Regulation
12/13/2022,7:00 PM,8:00 PM,Vegas Golden Knights,6,Winnipeg Jets,5,Regulation
12/13/2022,8:00 PM,9:00 PM,Washington Capitals,7,Chicago Blackhawks,3,Regulation
12/13/2022,8:00 PM,9:00 PM,Philadelphia Flyers,2,Colorado Avalanche,3,Regulation
12/13/2022,9:30 PM,10:30 PM,Arizona Coyotes,2,San Jose Sharks,3,Regulation
12/14/2022,6:00 PM,7:00 PM,Montreal Canadiens,2,Ottawa Senators,3,Regulation
12/14/2022,6:30 PM,7:30 PM,Detroit Red Wings,1,Minnesota Wild,4,Regulation
12/14/2022,9:00 PM,10:00 PM,Vancouver Canucks,4,Calgary Flames,3,SO
12/15/2022,6:00 PM,7:00 PM,Anaheim Ducks,5,Montreal Canadiens,2,Regulation
12/15/2022,6:00 PM,7:00 PM,Columbus Blue Jackets,1,Tampa Bay Lightning,4,Regulation
12/15/2022,6:00 PM,7:00 PM,Dallas Stars,2,Washington Capitals,1,Regulation
12/15/2022,6:00 PM,7:00 PM,Los Angeles Kings,3,Boston Bruins,2,SO
12/15/2022,6:00 PM,7:00 PM,Philadelphia Flyers,2,New Jersey Devils,1,Regulation
12/15/2022,6:00 PM,7:00 PM,Pittsburgh Penguins,4,Florida Panthers,2,Regulation
12/15/2022,6:00 PM,7:00 PM,Seattle Kraken,2,Carolina Hurricanes,3,Regulation
12/15/2022,6:00 PM,7:00 PM,Toronto Maple Leafs,1,New York Rangers,3,Regulation
12/15/2022,7:00 PM,8:00 PM,Nashville Predators,1,Winnipeg Jets,2,OT
12/15/2022,7:30 PM,8:30 PM,Vegas Golden Knights,4,Chicago Blackhawks,1,Regulation
12/15/2022,8:00 PM,9:00 PM,Buffalo Sabres,4,Colorado Avalanche,2,Regulation
12/15/2022,8:00 PM,9:00 PM,St. Louis Blues,4,Edmonton Oilers,3,SO
12/16/2022,7:00 PM,8:00 PM,Chicago Blackhawks,1,Minnesota Wild,4,Regulation
12/16/2022,8:00 PM,9:00 PM,St. Louis Blues,5,Calgary Flames,2,Regulation
12/16/2022,8:30 PM,9:30 PM,New York Islanders,4,Arizona Coyotes,5,Regulation
12/17/2022,12:00 PM,1:00 PM,Columbus Blue Jackets,2,Boston Bruins,4,Regulation
12/17/2022,12:00 PM,1:00 PM,Ottawa Senators,6,Detroit Red Wings,3,Regulation
12/17/2022,3:00 PM,4:00 PM,Anaheim Ducks,4,Edmonton Oilers,3,Regulation
12/17/2022,6:00 PM,7:00 PM,Dallas Stars,4,Carolina Hurricanes,5,OT
12/17/2022,6:00 PM,7:00 PM,New York Rangers,6,Philadelphia Flyers,3,Regulation
12/17/2022,6:00 PM,7:00 PM,Tampa Bay Lightning,5,Montreal Canadiens,1,Regulation
12/17/2022,6:00 PM,7:00 PM,Toronto Maple Leafs,2,Washington Capitals,5,Regulation
12/17/2022,6:30 PM,7:30 PM,Florida Panthers,4,New Jersey Devils,2,Regulation
12/17/2022,8:00 PM,9:00 PM,Buffalo Sabres,5,Arizona Coyotes,2,Regulation
12/17/2022,8:00 PM,9:00 PM,Nashville Predators,1,Colorado Avalanche,3,Regulation
12/17/2022,9:00 PM,10:00 PM,New York Islanders,5,Vegas Golden Knights,2,Regulation
12/17/2022,9:00 PM,10:00 PM,Winnipeg Jets,5,Vancouver Canucks,1,Regulation
12/17/2022,9:30 PM,10:30 PM,San Jose Sharks,2,Los Angeles Kings,3,SO
12/18/2022,1:00 PM,2:00 PM,Ottawa Senators,2,Minnesota Wild,4,Regulation
12/18/2022,4:00 PM,5:00 PM,Pittsburgh Penguins,2,Carolina Hurricanes,3,Regulation
12/18/2022,6:30 PM,7:30 PM,New York Rangers,7,Chicago Blackhawks,1,Regulation
12/18/2022,7:00 PM,8:00 PM,Winnipeg Jets,2,Seattle Kraken,3,Regulation
12/18/2022,9:00 PM,10:00 PM,Calgary Flames,5,San Jose Sharks,2,Regulation
12/19/2022,6:00 PM,7:00 PM,Dallas Stars,2,Columbus Blue Jackets,1,Regulation
12/19/2022,6:00 PM,7:00 PM,Detroit Red Wings,3,Washington Capitals,4,OT
12/19/2022,6:00 PM,7:00 PM,Florida Panthers,3,Boston Bruins,7,Regulation
12/19/2022,7:00 PM,8:00 PM,Edmonton Oilers,3,Nashville Predators,4,OT
12/19/2022,8:00 PM,9:00 PM,New York Islanders,0,Colorado Avalanche,1,SO
12/19/2022,9:00 PM,10:00 PM,Buffalo Sabres,3,Vegas Golden Knights,2,Regulation
12/19/2022,9:00 PM,10:00 PM,Montreal Canadiens,3,Arizona Coyotes,2,OT
12/19/2022,9:30 PM,10:30 PM,St. Louis Blues,5,Vancouver Canucks,1,Regulation
12/20/2022,6:00 PM,7:00 PM,Columbus Blue Jackets,3,Philadelphia Flyers,5,Regulation
12/20/2022,6:00 PM,7:00 PM,New York Rangers,2,Pittsburgh Penguins,3,Regulation
12/20/2022,6:00 PM,7:00 PM,New Jersey Devils,1,Carolina Hurricanes,4,Regulation
12/20/2022,6:00 PM,7:00 PM,Tampa Bay Lightning,1,Toronto Maple Leafs,4,Regulation
12/20/2022,7:00 PM,8:00 PM,Ottawa Senators,1,Winnipeg Jets,5,Regulation
12/20/2022,9:00 PM,10:00 PM,St. Louis Blues,2,Seattle Kraken,5,Regulation
12/20/2022,9:30 PM,10:30 PM,Anaheim Ducks,1,Los Angeles Kings,4,Regulation
12/20/2022,9:30 PM,10:30 PM,Calgary Flames,7,San Jose Sharks,3,Regulation
12/21/2022,6:00 PM,7:00 PM,New Jersey Devils,4,Florida Panthers,2,Regulation
12/21/2022,6:00 PM,7:00 PM,Tampa Bay Lightning,4,Detroit Red Wings,7,Regulation
12/21/2022,7:00 PM,8:00 PM,Montreal Canadiens,1,Colorado Avalanche,2,OT
12/21/2022,7:30 PM,8:30 PM,Nashville Predators,4,Chicago Blackhawks,2,Regulation
12/21/2022,8:30 PM,9:30 PM,Edmonton Oilers,6,Dallas Stars,3,Regulation
12/21/2022,9:00 PM,10:00 PM,Arizona Coyotes,2,Vegas Golden Knights,5,Regulation
12/21/2022,9:00 PM,10:00 PM,Minnesota Wild,4,Anaheim Ducks,1,Regulation
12/22/2022,1:00 PM,2:00 PM,Philadelphia Flyers,3,Toronto Maple Leafs,4,Regulation
12/22/2022,6:00 PM,7:00 PM,Carolina Hurricanes,4,Pittsburgh Penguins,3,OT
12/22/2022,6:00 PM,7:00 PM,New York Islanders,3,New York Rangers,5,Regulation
12/22/2022,6:00 PM,7:00 PM,Washington Capitals,3,Ottawa Senators,2,OT
12/22/2022,6:00 PM,7:00 PM,Winnipeg Jets,2,Boston Bruins,3,Regulation
12/22/2022,9:00 PM,10:00 PM,Seattle Kraken,5,Vancouver Canucks,6,SO
12/22/2022,9:30 PM,10:30 PM,Calgary Flames,3,Los Angeles Kings,4,OT
12/22/2022,9:30 PM,10:30 PM,Minnesota Wild,2,San Jose Sharks,5,Regulation
12/23/2022,6:00 PM,7:00 PM,Boston Bruins,4,New Jersey Devils,3,Regulation
12/23/2022,6:00 PM,7:00 PM,Philadelphia Flyers,5,Carolina Hurricanes,6,Regulation
12/23/2022,6:00 PM,7:00 PM,Winnipeg Jets,1,Washington Capitals,4,Regulation
12/23/2022,6:30 PM,7:30 PM,Florida Panthers,1,New York Islanders,5,Regulation
12/23/2022,7:00 PM,8:00 PM,Colorado Avalanche,3,Nashville Predators,2,OT
12/23/2022,7:00 PM,8:00 PM,Montreal Canadiens,2,Dallas Stars,4,Regulation
12/23/2022,7:30 PM,8:30 PM,Columbus Blue Jackets,2,Chicago Blackhawks,5,Regulation
12/23/2022,8:00 PM,9:00 PM,Vancouver Canucks,5,Edmonton Oilers,2,Regulation
12/23/2022,8:30 PM,9:30 PM,Los Angeles Kings,1,Arizona Coyotes,2,SO
12/23/2022,9:00 PM,10:00 PM,St. Louis Blues,4,Vegas Golden Knights,5,SO
12/23/2022,9:30 PM,10:30 PM,Calgary Flames,3,Anaheim Ducks,2,OT
12/27/2022,6:00 PM,7:00 PM,Boston Bruins,2,Ottawa Senators,3,SO
12/27/2022,6:00 PM,7:00 PM,Chicago Blackhawks,0,Carolina Hurricanes,3,Regulation
12/27/2022,6:00 PM,7:00 PM,Washington Capitals,4,New York Rangers,0,Regulation
12/27/2022,6:30 PM,7:30 PM,Pittsburgh Penguins,1,New York Islanders,5,Regulation
12/27/2022,7:00 PM,8:00 PM,Dallas Stars,3,Nashville Predators,2,Regulation
12/27/2022,7:00 PM,8:00 PM,Minnesota Wild,4,Winnipeg Jets,1,Regulation
12/27/2022,7:00 PM,8:00 PM,Toronto Maple Leafs,5,St. Louis Blues,4,OT
12/27/2022,8:00 PM,9:00 PM,Colorado Avalanche,3,Arizona Coyotes,6,Regulation
12/27/2022,8:00 PM,9:00 PM,Edmonton Oilers,2,Calgary Flames,1,Regulation
12/27/2022,9:00 PM,10:00 PM,San Jose Sharks,2,Vancouver Canucks,6,Regulation
12/27/2022,9:30 PM,10:30 PM,Vegas Golden Knights,2,Los Angeles Kings,4,Regulation
12/28/2022,6:00 PM,7:00 PM,Montreal Canadiens,1,Tampa Bay Lightning,4,Regulation
12/28/2022,6:30 PM,7:30 PM,Boston Bruins,3,New Jersey Devils,1,Regulation
12/28/2022,6:30 PM,7:30 PM,Detroit Red Wings,5,Pittsburgh Penguins,4,OT
12/28/2022,9:00 PM,10:00 PM,Calgary Flames,3,Seattle Kraken,2,Regulation
12/28/2022,9:00 PM,10:00 PM,Vegas Golden Knights,2,Anaheim Ducks,3,SO
12/29/2022,6:00 PM,7:00 PM,Detroit Red Wings,3,Buffalo Sabres,6,Regulation
12/29/2022,6:00 PM,7:00 PM,Montreal Canadiens,2,Florida Panthers,7,Regulation
12/29/2022,6:00 PM,7:00 PM,New York Rangers,1,Tampa Bay Lightning,2,SO
12/29/2022,6:00 PM,7:00 PM,Ottawa Senators,4,Washington Capitals,3,OT
12/29/2022,6:30 PM,7:30 PM,Columbus Blue Jackets,1,New York Islanders,2,Regulation
12/29/2022,7:00 PM,8:00 PM,Chicago Blackhawks,1,St. Louis Blues,3,Regulation
12/29/2022,7:00 PM,8:00 PM,Dallas Stars,4,Minnesota Wild,1,Regulation
12/29/2022,7:00 PM,8:00 PM,Vancouver Canucks,2,Winnipeg Jets,4,Regulation
12/29/2022,8:00 PM,9:00 PM,Los Angeles Kings,5,Colorado Avalanche,4,SO
12/29/2022,8:00 PM,9:00 PM,Toronto Maple Leafs,3,Arizona Coyotes,6,Regulation
12/29/2022,9:30 PM,10:30 PM,Philadelphia Flyers,4,San Jose Sharks,3,OT
12/30/2022,4:00 PM,5:00 PM,Nashville Predators,6,Anaheim Ducks,1,Regulation
12/30/2022,6:00 PM,7:00 PM,New Jersey Devils,4,Pittsburgh Penguins,2,Regulation
