Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
10/29/2022,5:30 PM,7:30 PM,Colorado Avalanche,4,New York Islanders,5,Regulation
10/29/2022,6:00 PM,8:00 PM,Washington Capitals,3,Nashville Predators,0,Regulation
10/29/2022,8:00 PM,10:00 PM,Edmonton Oilers,3,Calgary Flames,2,Regulation
10/29/2022,8:00 PM,10:00 PM,Pittsburgh Penguins,1,Seattle Kraken,3,Regulation
10/30/2022,12:00 PM,2:00 PM,Columbus Blue Jackets,1,New Jersey Devils,7,Regulation
10/30/2022,5:00 PM,7:00 PM,Minnesota Wild,4,Chicago Blackhawks,3,SO
10/30/2022,6:00 PM,8:00 PM,New York Rangers,3,Arizona Coyotes,2,Regulation
10/30/2022,6:00 PM,8:00 PM,Toronto Maple Leafs,3,Anaheim Ducks,4,OT
10/30/2022,6:00 PM,8:00 PM,Winnipeg Jets,1,Vegas Golden Knights,2,OT
10/31/2022,5:00 PM,7:00 PM,Detroit Red Wings,3,Buffalo Sabres,8,Regulation
10/31/2022,5:00 PM,7:00 PM,Washington Capitals,2,Carolina Hurricanes,3,SO
10/31/2022,6:00 PM,8:00 PM,Los Angeles Kings,5,St. Louis Blues,1,Regulation
11/1/2022,5:00 PM,7:00 PM,Ottawa Senators,3,Tampa Bay Lightning,4,Regulation
11/1/2022,5:00 PM,7:00 PM,Philadelphia Flyers,0,New York Rangers,1,OT
11/1/2022,5:00 PM,7:00 PM,Vegas Golden Knights,3,Washington Capitals,2,OT
11/1/2022,6:00 PM,8:00 PM,Boston Bruins,6,Pittsburgh Penguins,5,OT
11/1/2022,6:00 PM,8:00 PM,Montreal Canadiens,1,Minnesota Wild,4,Regulation
11/1/2022,6:30 PM,8:30 PM,New York Islanders,3,Chicago Blackhawks,1,Regulation
11/1/2022,6:30 PM,8:30 PM,Los Angeles Kings,2,Dallas Stars,5,Regulation
11/1/2022,7:00 PM,9:00 PM,Nashville Predators,4,Edmonton Oilers,7,Regulation
11/1/2022,7:00 PM,9:00 PM,Seattle Kraken,5,Calgary Flames,4,Regulation
11/1/2022,8:00 PM,10:00 PM,Florida Panthers,1,Arizona Coyotes,3,Regulation
11/1/2022,8:00 PM,10:00 PM,New Jersey Devils,5,Vancouver Canucks,2,Regulation
11/1/2022,8:30 PM,10:30 PM,Anaheim Ducks,6,San Jose Sharks,5,SO
11/2/2022,5:00 PM,7:00 PM,Philadelphia Flyers,2,Toronto Maple Leafs,5,Regulation
11/2/2022,5:30 PM,7:30 PM,Pittsburgh Penguins,3,Buffalo Sabres,6,Regulation
11/3/2022,5:00 PM,7:00 PM,Carolina Hurricanes,4,Tampa Bay Lightning,3,SO
11/3/2022,5:00 PM,7:00 PM,Vegas Golden Knights,5,Ottawa Senators,4,Regulation
11/3/2022,5:00 PM,7:00 PM,Washington Capitals,1,Detroit Red Wings,3,Regulation
11/3/2022,5:30 PM,7:30 PM,Boston Bruins,5,New York Rangers,2,Regulation
11/3/2022,6:00 PM,8:00 PM,Montreal Canadiens,2,Winnipeg Jets,3,OT
11/3/2022,6:00 PM,8:00 PM,New York Islanders,5,St. Louis Blues,2,Regulation
11/3/2022,6:00 PM,8:00 PM,Seattle Kraken,4,Minnesota Wild,0,Regulation
11/3/2022,6:30 PM,8:30 PM,Los Angeles Kings,1,Chicago Blackhawks,2,OT
11/3/2022,7:00 PM,9:00 PM,Nashville Predators,4,Calgary Flames,1,Regulation
11/3/2022,7:00 PM,9:00 PM,New Jersey Devils,4,Edmonton Oilers,3,Regulation
11/3/2022,8:00 PM,10:00 PM,Anaheim Ducks,5,Vancouver Canucks,8,Regulation
11/3/2022,8:00 PM,10:00 PM,Dallas Stars,7,Arizona Coyotes,2,Regulation
11/3/2022,8:30 PM,10:30 PM,Florida Panthers,4,San Jose Sharks,3,SO
11/4/2022,12:00 PM,2:00 PM,Columbus Blue Jackets,3,Colorado Avalanche,6,Regulation
11/4/2022,5:00 PM,7:00 PM,Buffalo Sabres,3,Carolina Hurricanes,5,Regulation
11/5/2022,11:00 AM,1:00 PM,New York Islanders,0,Detroit Red Wings,3,Regulation
11/5/2022,12:00 PM,2:00 PM,Colorado Avalanche,5,Columbus Blue Jackets,1,Regulation
11/5/2022,1:00 PM,3:00 PM,Chicago Blackhawks,0,Winnipeg Jets,4,Regulation
11/5/2022,2:00 PM,4:00 PM,Dallas Stars,6,Edmonton Oilers,2,Regulation
11/5/2022,5:00 PM,7:00 PM,Arizona Coyotes,3,Washington Capitals,2,Regulation
